tai04_04_01.txt,360,385,391
tai04_04_02.txt,402,432,432
tai04_04_03.txt,531,444,444
tai04_04_04.txt,419,441,441
tai04_04_05.txt,526.65,480.8,530.43
tai04_04_06.txt,432,467,432
tai04_04_07.txt,304,428,431
tai04_04_08.txt,401,542,449
tai04_04_09.txt,488,497,483
tai04_04_10.txt,418,362,372
tai05_05_01.txt,634,629,640
tai05_05_02.txt,463.688,519.984,479.632
tai05_05_03.txt,676,645,664
tai05_05_04.txt,658,616,644
tai05_05_05.txt,675,596,653
tai05_05_06.txt,642,623,653
tai05_05_07.txt,564.791,675.45,622.044
tai05_05_08.txt,596,594,472
tai05_05_09.txt,693,703,703
tai05_05_10.txt,674,594,652
tai07_07_01.txt,830.14,985.995,943.27
tai07_07_02.txt,926,939,893
tai07_07_03.txt,970,951,980
tai07_07_04.txt,891.795,901.561,897.672
tai07_07_05.txt,859,754,883
tai07_07_06.txt,848.136,980.304,976.724
tai07_07_07.txt,856,881,1020
tai07_07_08.txt,889.857,840.104,847.242
tai07_07_09.txt,962,840,956
tai07_07_10.txt,899.096,937.44,819.448
tai10_10_01.txt,1290.5,1337.36,1416.89
tai10_10_02.txt,1269.74,1280.36,1239.43
tai10_10_03.txt,1285.77,1260.06,1341.17
tai10_10_04.txt,1210.83,1259.65,1205.24
tai10_10_05.txt,1348.63,1263.2,1237.92
tai10_10_06.txt,1234.08,1302.96,1197.87
tai10_10_07.txt,1264.7,1360.01,1327.5
tai10_10_08.txt,1283.94,1279.22,1267.88
tai10_10_09.txt,1261.38,1315.12,1391.7
tai10_10_10.txt,1370.79,1349.19,1272.14
tai15_15_01.txt,1950.87,1982.81,1980.9
tai15_15_02.txt,2038.41,1971.71,2039
tai15_15_03.txt,1938.63,1939.65,1926.75
tai15_15_04.txt,2012.55,2025.02,2030.01
tai15_15_05.txt,2060.58,2049.39,1994.42
tai15_15_06.txt,2145.11,1994.5,1989.85
tai15_15_07.txt,1988.15,1967.81,1983.64
